"id","date","price","month.return","ym","year","month","treasury","mkt","mktprm","cmpprm","industry","long.treasury","long.minus.short","season"
5880,20151231,13.8,-1.0792,201512,2015,12,0.0190330934314531,0.2096,0.190566906568547,-1.09823309343145,28,0.24419348179574,0.225160388364287,4
6505,20151231,78.8,2.0726,201512,2015,12,0.0190330934314531,0.2096,0.190566906568547,2.05356690656855,11,0.24419348179574,0.225160388364287,4
9904,20151231,43.1,-0.8055,201512,2015,12,0.0190330934314531,0.2096,0.190566906568547,-0.824533093431453,29,0.24419348179574,0.225160388364287,4
1101,20151130,29.5,-18.6464,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-18.6569202265202,11,0.249059823032027,0.238539596511789,4
1102,20151130,27.7,-18.0742,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-18.0847202265202,11,0.249059823032027,0.238539596511789,4
1216,20151130,53.8,-2.1818,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-2.19232022652024,29,0.249059823032027,0.238539596511789,4
1301,20151130,73.7,-2.384,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-2.39452022652024,11,0.249059823032027,0.238539596511789,4
1303,20151130,58.6,-9.428,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-9.43852022652024,11,0.249059823032027,0.238539596511789,4
1326,20151130,70.6,-5.2348,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-5.24532022652024,11,0.249059823032027,0.238539596511789,4
1402,20151130,26.4,-10.8112,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-10.8217202265202,29,0.249059823032027,0.238539596511789,4
2002,20151130,18.2,-7.6337,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-7.64422022652024,11,0.249059823032027,0.238539596511789,4
2105,20151130,54.7,-7.1307,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-7.14122022652024,11,0.249059823032027,0.238539596511789,4
2301,20151130,33.5,-0.8875,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-0.898020226520239,23,0.249059823032027,0.238539596511789,4
2303,20151130,11.9,-0.4202,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-0.430720226520239,23,0.249059823032027,0.238539596511789,4
2308,20151130,156.5,-5.4418,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-5.45232022652024,23,0.249059823032027,0.238539596511789,4
2317,20151130,84,-3.0023,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-3.01282022652024,23,0.249059823032027,0.238539596511789,4
2327,20151130,50.2,-2.1443,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-2.15482022652024,23,0.249059823032027,0.238539596511789,4
2330,20151130,139,1.8315,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,1.82097977347976,23,0.249059823032027,0.238539596511789,4
2354,20151130,73.2,-14.2856,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-14.2961202265202,23,0.249059823032027,0.238539596511789,4
2357,20151130,270,-7.2166,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-7.22712022652024,23,0.249059823032027,0.238539596511789,4
2382,20151130,51,-8.1082,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-8.11872022652024,23,0.249059823032027,0.238539596511789,4
2395,20151130,214.5,-8.1372,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-8.14772022652024,23,0.249059823032027,0.238539596511789,4
2408,20151130,42.8,6.7415,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,6.73097977347976,23,0.249059823032027,0.238539596511789,4
2409,20151130,8.7,-8.6729,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-8.68342022652024,23,0.249059823032027,0.238539596511789,4
2412,20151130,99.8,0.1003,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,0.0897797734797613,24,0.249059823032027,0.238539596511789,4
2454,20151130,260.5,2.3575,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,2.34697977347976,23,0.249059823032027,0.238539596511789,4
2474,20151130,316,-1.25,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-1.26052022652024,23,0.249059823032027,0.238539596511789,4
2492,20151130,17.3,-4.1669,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-4.17742022652024,23,0.249059823032027,0.238539596511789,4
2633,20151130,4,-3.3898,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-3.40032022652024,29,0.249059823032027,0.238539596511789,4
2801,20151130,16,-5.3257,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-5.33622022652024,28,0.249059823032027,0.238539596511789,4
2823,20151130,26.5,-1.4867,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-1.49722022652024,28,0.249059823032027,0.238539596511789,4
2880,20151130,15.3,-2.5558,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-2.56632022652024,28,0.249059823032027,0.238539596511789,4
2881,20151130,52,-1.3285,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-1.33902022652024,28,0.249059823032027,0.238539596511789,4
2882,20151130,45.7,-1.6164,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-1.62692022652024,28,0.249059823032027,0.238539596511789,4
2883,20151130,8.4,-3.8856,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-3.89612022652024,28,0.249059823032027,0.238539596511789,4
2884,20151130,19.7,0.5115,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,0.500979773479761,28,0.249059823032027,0.238539596511789,4
2885,20151130,12.4,-3.5155,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-3.52602022652024,28,0.249059823032027,0.238539596511789,4
